filename,latitude,longitude,roll,pitch,heading,date,time
N93E70-0001.jpg,2.542421,102.8077,0,0,255.8094,4/9/2022,43:00.4
N93E70-0002.jpg,2.542429,102.8078,0,0,255.7978,4/9/2022,43:01.0
N93E70-0003.jpg,2.542437,102.8078,0,0,254.6215,4/9/2022,43:02.5
N93E70-0004.jpg,2.542449,102.8078,0,0,239.9194,4/9/2022,43:04.1
N93E70-0005.jpg,2.542471,102.8078,0,0,209.8567,4/9/2022,43:05.7
N93E70-0006.jpg,2.542498,102.8078,0,0,174.5648,4/9/2022,43:07.4
N93E70-0007.jpg,2.542524,102.8078,0,0,171.2146,4/9/2022,43:08.2
N93E70-0008.jpg,2.542552,102.8078,0,0,176.4449,4/9/2022,43:09.1
N93E70-0009.jpg,2.54258,102.8078,0,0,179.6768,4/9/2022,43:10.2
N93E70-0010.jpg,2.542608,102.8078,0,0,181.3509,4/9/2022,43:11.2
N93E70-0011.jpg,2.542638,102.8078,0,0,183.5656,4/9/2022,43:12.0
N93E70-0012.jpg,2.542666,102.8078,0,0,185.6539,4/9/2022,43:12.9
N93E70-0013.jpg,2.542693,102.8078,0,0,184.7171,4/9/2022,43:13.6
N93E70-0014.jpg,2.54272,102.8078,0,0,181.4342,4/9/2022,43:14.3
N93E70-0015.jpg,2.542747,102.8078,0,0,177.9373,4/9/2022,43:16.0
