filename,latitude,longitude,roll,pitch,heading,date,time
N94E70-0031.jpg,2.53888,102.80497,0,0,16.2,4/9/2022,43:17.2
N94E70-0032.jpg,2.538903,102.804977,0,0,16.2,4/9/2022,43:18.5
N94E70-0033.jpg,2.538925,102.804983,0,0,16.2,4/9/2022,43:19.8
N94E70-0034.jpg,2.538948,102.80499,0,0,16.2,4/9/2022,43:21.1
N94E70-0035.jpg,2.53897,102.804996,0,0,16.2,4/9/2022,43:22.4
N94E70-0036.jpg,2.538993,102.805003,0,0,16.2,4/9/2022,43:23.7
N94E70-0037.jpg,2.539016,102.805009,0,0,16.2,4/9/2022,43:25.0
N94E70-0038.jpg,2.539038,102.805016,0,0,16.2,4/9/2022,43:26.3
N94E70-0039.jpg,2.539061,102.805023,0,0,16.2,4/9/2022,43:27.6
N94E70-0040.jpg,2.539084,102.805029,0,0,16.2,4/9/2022,43:28.9
N94E70-0041.jpg,2.539106,102.805036,0,0,16.2,4/9/2022,43:30.2
N94E70-0042.jpg,2.539129,102.805042,0,0,16.2,4/9/2022,43:31.5
N94E70-0043.jpg,2.539151,102.805049,0,0,16.2,4/9/2022,43:32.8
N94E70-0044.jpg,2.539174,102.805056,0,0,16.2,4/9/2022,43:34.1
N94E70-0045.jpg,2.539197,102.805062,0,0,16.2,4/9/2022,43:35.4
N94E70-0046.jpg,2.539219,102.805069,0,0,16.2,4/9/2022,43:36.7
N94E70-0047.jpg,2.539242,102.805075,0,0,16.2,4/9/2022,43:38.0
N94E70-0048.jpg,2.539265,102.805082,0,0,16.2,4/9/2022,43:39.3
N94E70-0049.jpg,2.539287,102.805088,0,0,16.2,4/9/2022,43:40.6
N94E70-0050.jpg,2.53931,102.805095,0,0,16.2,4/9/2022,43:41.9
N94E70-0051.jpg,2.539332,102.805102,0,0,16.2,4/9/2022,43:43.2
N94E70-0052.jpg,2.539355,102.805108,0,0,16.2,4/9/2022,43:44.5
N94E70-0053.jpg,2.539378,102.805115,0,0,16.2,4/9/2022,43:45.8
N94E70-0054.jpg,2.5394,102.805121,0,0,16.2,4/9/2022,43:47.1
N94E70-0055.jpg,2.539423,102.805128,0,0,16.2,4/9/2022,43:48.4
N94E70-0056.jpg,2.539446,102.805134,0,0,16.2,4/9/2022,43:49.7
N94E70-0057.jpg,2.539468,102.805141,0,0,16.2,4/9/2022,43:51.0
N94E70-0058.jpg,2.539491,102.805148,0,0,16.2,4/9/2022,43:52.3
N94E70-0059.jpg,2.539513,102.805154,0,0,16.2,4/9/2022,43:53.6
N94E70-0060.jpg,2.539536,102.805161,0,0,16.2,4/9/2022,43:54.9
N94E70-0061.jpg,2.539559,102.805167,0,0,16.2,4/9/2022,43:56.2
N94E70-0062.jpg,2.539581,102.805174,0,0,16.2,4/9/2022,43:57.5
N94E70-0063.jpg,2.539604,102.805181,0,0,16.2,4/9/2022,43:58.8
N94E70-0064.jpg,2.539627,102.805187,0,0,16.2,4/9/2022,44:00.1
N94E70-0065.jpg,2.539649,102.805194,0,0,16.2,4/9/2022,44:01.4
N94E70-0066.jpg,2.539672,102.8052,0,0,16.2,4/9/2022,44:02.7
N94E70-0067.jpg,2.539694,102.805207,0,0,16.2,4/9/2022,44:04.0
N94E70-0068.jpg,2.539717,102.805213,0,0,16.2,4/9/2022,44:05.3
N94E70-0069.jpg,2.53974,102.80522,0,0,16.2,4/9/2022,44:06.6
N94E70-0070.jpg,2.539762,102.805227,0,0,16.2,4/9/2022,44:07.9
N94E70-0071.jpg,2.539785,102.805233,0,0,16.2,4/9/2022,44:09.2
N94E70-0072.jpg,2.539808,102.80524,0,0,16.2,4/9/2022,44:10.5
N94E70-0073.jpg,2.53983,102.805246,0,0,16.2,4/9/2022,44:11.8
N94E70-0074.jpg,2.539853,102.805253,0,0,16.2,4/9/2022,44:13.1
N94E70-0075.jpg,2.539875,102.80526,0,0,16.2,4/9/2022,44:14.4
N94E70-0076.jpg,2.539898,102.805266,0,0,16.2,4/9/2022,44:15.7
N94E70-0077.jpg,2.539921,102.805273,0,0,16.2,4/9/2022,44:17.0
N94E70-0078.jpg,2.539943,102.805279,0,0,16.2,4/9/2022,44:18.3
